current_path	current_responsibility	defect_or_duplication	target_module	action	migration_prerequisite	compatibility_strategy	required_behavioral_proof	deletion_condition	wave
security/* (RequestActorResolver, ApiRouteSecurityPolicy, ApiPermission, GatewayHeader*, policy/*)	auth, route→permission, actor/tenant resolution	none (healthy)	identityaccess	KEEP	none	n/a	existing ApiRouteSecurityClassificationTest stays green	n/a	0
domain/audit/*, domain/integration/OutboxEvent, common/idempotency/*	audit, outbox, idempotency	none (healthy, cross-cutting)	auditoutbox	KEEP	none	n/a	audit+outbox atomic with business tx (existing tests)	n/a	0
domain/workspace/* (quote+order+draft+exception mixed)	quote, order, draft review, exception cockpit in one package	mixed owners under one context	quote / ordermanagement / workmanagement	SPLIT	define 3 module APIs; add quote_status CHECK	keep controller paths; internal repackage	QuoteReviewServiceTest, QuoteApprovalStateMachineService tests stay green; new ArchUnit boundary test	old package empty after move	2
DraftQuoteController + QuoteReviewController + RfqHandoffDraftQuoteController + QuoteTransactionController + QuoteTransactionConversionController + WorkspaceController(quote parts)	quote draft/review/convert surface	D4 duplicate quote surface	quote (aggregate) + ordermanagement (convert) + workmanagement (review)	SPLIT	module APIs from row above	route aliases retained	contract tests per controller stay green; no route/permission drift	FE migrated off duplicate routes	2
ChannelWebhookController + WebhookController + BotTelegramWebhookController + ChannelGatewayController	inbound webhook entry	D1 duplicate webhook entry	channelintake (Canonical Intake Pipeline)	MERGE	typed InboundEnvelope + adapter category interface	legacy webhook paths kept as thin adapters	ChannelWebhookControllerFailClosedMockMvcTest + LegacyWebhookControllerFailClosedTest stay green	all providers on pipeline; legacy adapters removed	3
ChannelRfqHandoffController + DemoRfqHandoffController + RfqHandoffDraftQuoteController + ChannelBotBridgeController	intake→RFQ/handoff	D2 duplicate RFQ paths	inquiry	MERGE	Inquiry aggregate + demo runtime gate seam	demo path becomes adapter behind gate	DemoRfqHandoffRuntimeGate tests; identity gating tests stay green	demo/duplicate controllers deprecated	3
ValidationController + ValidationReviewController + ValidationWorkspaceActionController + OperatorReviewController + Extraction*ValidationController + AiValidationHandoffController	validation review surface	D3 overlapping review	decisiontrace (validate) + workmanagement (review UX)	SPLIT/MERGE	one canonical ValidationCase contract	keep review routes; consolidate services	ValidationReview*Stage tests stay green	duplicate review controllers removed	4
domain/trust/* (86 files: ai memory, risk, analytics, events)	AI advisory memory, risk decisions, analytics, event projection under one context	oversized multi-concern context	aiadvisory + commercialpolicy(risk) + commerceintelligence(analytics) + decisiontrace(events)	SPLIT	4 target module APIs	internal repackage; keep /api/v1/trust routes via facade	Trust*Test suites stay green; ArchUnit boundary test	trust package reduced to advisory memory only	4
AnalyticsController + CommerceAnalyticsController + CommerceIntelligenceController + Stage8AnalyticsController + Stage8ValueAnalyticsController + TrustAnalyticsController + CommandCenterController	analytics/projection read surfaces	D5 projection sprawl	commerceintelligence	MERGE	read-model contracts	keep routes; consolidate behind one read module	analytics contract tests stay green; assert read-only	duplicate analytics controllers removed	6
/api/stage8/* and /api/stage9/* route namespaces	legacy stage-scoped routes beside /api/v1	D6 duplicate namespace	(respective modules)	DEPRECATE	route parity map	301/alias to /api/v1 equivalents	ApiRouteSecurityClassificationTest route inventory unchanged count	FE fully on /api/v1	1
domain/bot/* (bot runtime, response drafts)	channel bot runtime + response drafts	mixes intake gating and outbound delivery	channelintake (gating) + communicationdelivery (drafts)	SPLIT	delivery module API	keep bot-runtime routes	ChannelBotRuntimeIdentityGatingTest stays green	drafts moved to delivery	5
domain/payment/* + domain/reconciliation/*	payment obligation/allocation + reconciliation	no real matching engine; exactly-once risk	paymentreconciliation	KEEP + REPLACE(matching)	matching engine design (ADR-009)	additive	allocation idempotency + reconciliation tests	n/a	later
domain/journey/* (order journey, tracking)	fulfillment + public tracking	projection mixed with fulfillment write	fulfillment + customerprojection	SPLIT	projection contract	keep public tracking route	OrderJourney render/regression tests stay green; no internal-id leak	projection separated	later
domain/incident/*, domain/support/*, domain/control/*	incident, support grants, lifecycle/backup	none (healthy P1-E)	supportcontrol	KEEP	none	n/a	Incident/Support/Control security suites stay green	n/a	0
apps/operantctl/*	bounded control client	none (separate deployable)	developerplatform	KEEP	none	n/a	operantctl CI gate stays green	n/a	0
domain/pilot/*, TenantDemoDataService	pilot shadow + demo seed	demo seeding near production truth	tenantimplementation	KEEP	onboarding gate formalization	gate demo behind non-prod	pilot shadow tests stay green	n/a	later
apps/ai-worker/*	advisory extraction/OCR	none (advisory runtime)	aiadvisory (adapter) / documentevidence (jobs)	KEEP	typed AI result contract	AI_RESULT_INTAKE stays	AiWorkerResultIntake idempotent intake test	n/a	0
(target) MFA/security delivery	none today	security messaging not separated	securitydelivery	REPLACE(new)	provider choice (owner decision)	new module	MFA challenge issue/deliver/verify tests	n/a	5
(target) Invoice/AR mirror	none today	AR ownership undefined	billingar	NEEDS_OWNER_DECISION	owner decision (AR vs ERP mirror)	n/a	n/a	n/a	n/a
