flow_id	name	actor_plane	entry_adapter	canonical_request	backend_resolved_authority	orchestrator_module	authoritative_module	legal_transition	tx_boundary	idempotency_identity	concurrency	audit_event	outbox_event	async_work	external_effect	partial_failure	reconciliation	safe_response	perf_path	current_duplicates	migration_plan	status
F1	Channel→Inquiry/RFQ	service-account(webhook)/tenant	InboundChannelAdapter(Telegram/Email/API)	InboundEnvelope{provider,ext_event_id,payload_ref}	tenant+connection from token/signature (server)	channelintake	inquiry	Inbound→Accepted→InquiryOpened	1 tx: message+ledger+audit	tenant+provider+ext_event_id	dedup unique index	InboundMessageAccepted	(none)	classify+route (job)	none	dedupe drops replay; ack idempotent	ledger vs inquiry	safe ack id only	fast: verify→dedup→persist→ack	ChannelWebhook/Webhook/BotTelegram/ChannelBotBridge	MERGE behind Canonical Intake Pipeline (Wave 3)	CURRENT_PROVEN
F2	Upload→Evidence	tenant/service-account	UploadAdapter	multipart→object storage	tenant (server)	documentevidence	documentevidence	Received→QUEUED→(DUPLICATE)	1 tx: doc+attachment+job+audit	tenant+sha256	tenant-scoped dedup	DocumentQueued	(none)	quarantine+malware scan+OCR/parse (jobs)	object storage put	scan-fail→job FAILED; evidence retained	job vs evidence	document id + status	fast persist; heavy async	IntakeDocument/ProcessingExtraction	keep; add quarantine+scan stage	CURRENT_PARTIAL
F3	Inquiry→resolution→validation→WorkCase	tenant	(internal)	ResolveInquiryCommand	tenant+actor(server)	inquiry	workmanagement	Inquiry→Resolved→WorkCase	1 tx: workcase+audit	tenant+inquiryId	optimistic	WorkCaseOpened	(none)	product/customer match (job)	none	unresolved→AMBIGUOUS handoff to operator	n/a	workcase summary	bounded queries	OperatorReview/Validation*	consolidate review surfaces (Wave 4)	CURRENT_PARTIAL
F4	Operator correction→revalidation	tenant	WorkspaceController	DraftLineCorrection{qty,uom,price,productId,reason}	tenant+actor(server), REVIEW_ACTION	workmanagement	decisiontrace+quote	NEEDS_REVIEW→revalidate→NEEDS_REVIEW	1 tx: line+totals+audit	tenant+draftId+lineId(+Idempotency-Key)	pessimistic lock on draft	DRAFT_*_LINE_CORRECTED	(none)	full deterministic revalidation	none	invalid→fail-closed 4xx no mutation	n/a	bounded corrected line	in-place update, recompute	09B/09C/09D DraftReview	SPLIT review UX vs quote (Wave 2)	CURRENT_PROVEN
F5	Inquiry/RFQ→Draft Quote	tenant	QuoteReview/RfqHandoffDraftQuote	AssembleDraftCommand{reasonCode,note}	tenant+actor(server), REVIEW_ACTION	workmanagement	quote	DRAFT→DRAFT_ASSEMBLED|PENDING_APPROVAL	1 tx: draft+audit(+candidate)	tenant+quoteId (deterministic key)	pessimistic lock	QUOTE_DRAFT_ASSEMBLED	(prepared candidate, not executed)	(none)	none (candidate only)	readiness gate blocks→409	candidate vs quote	QuoteDraftSummary (safe fields)	backend-calculated totals	DraftQuote/RfqHandoffDraftQuote/QuoteTransaction	de-god Quote (Wave 2)	CURRENT_PROVEN
F6	Quote approval→immutable Artifact	tenant	QuoteController	ApproveQuoteCommand	tenant+actor(server), APPROVE_QUOTE	quote	quote	PENDING_APPROVAL→APPROVED→QuoteArtifact	1 tx: quote+artifact+audit+outbox	tenant+quoteId(+Idempotency-Key)	optimistic version + state guard	QUOTE_APPROVED	QuoteApproved(outbox internal)	(none)	external delivery deferred	rollback discards artifact	n/a	approval result	guarded transition	QuoteReview/QuoteLifecycle	add quote_status CHECK (Wave 2)	CURRENT_PARTIAL
F7	Quote delivery→Communication Outbox→provider	tenant→service-account	(internal→OutboundCommAdapter)	DeliverQuoteCommand	tenant+actor(server)	communicationdelivery	communicationdelivery	QuoteIssued→DeliveryAttempt	outbox row in-tx; relay separate	tenant+quoteId+channel	per-recipient dedup	DELIVERY_ENQUEUED	QuoteIssued→PUBLISHED_EXTERNAL(target)	provider send (job)	email/telegram/etc	send-fail→retry bounded→DLQ	delivery status	no external effect today	async delivery	bot response drafts	wire outbox relay (Wave 5)	CURRENT_PARTIAL
F8	Buyer accept/reject/request-change	external-customer	BuyerPortalAdapter/SecureLink	token-scoped decision	tenant/quote from token(server)	quote	quote	Issued→Accepted|Rejected|ChangeRequested	1 tx: decision+audit	tenant+quoteId+token	optimistic	QUOTE_BUYER_DECISION	BuyerDecision(outbox)	(none)	external buyer notify	invalid token→deny	n/a	safe decision ack	token verify fast	(none yet)	TARGET (buyer portal seam)	TARGET_STATE_2
F9	Accepted Quote→Order	tenant	QuoteTransactionConversion	ConvertToOrderCommand	tenant+actor(server), APPROVE_ORDER	ordermanagement	ordermanagement	APPROVED→OrderCreated	1 tx: order+lines+audit(+outbox)	tenant+quoteId	guard requires exactly APPROVED	ORDER_CREATED	OrderCreated(outbox)	(none)	none	rollback discards order	n/a	order summary	guarded	QuoteTransaction/Conversion	keep; move to ordermanagement (Wave 2)	CURRENT_PARTIAL
F10	Order→approved ChangeRequest→connector exec	tenant→service-account	ChangeRequest/Stage9Integration	CreateChangeRequest→Approve→Execute	tenant+actor(server); CREATE/APPROVE/EXECUTE distinct perms	integrationcontrol	connectorexecution	PENDING_APPROVAL→APPROVED→EXECUTED	changeRequest+outbox in-tx; exec separate	tenant+changeRequestId(+connector idem key)	lease + fencing; idempotent effect	CHANGE_REQUEST_*/CONNECTOR_EXECUTED	ExternalSyncIntended→outbox	connector call via Gateway (P1-F)	ERP/1C write (disabled today)	exec-fail→retry→compensation plan	connector reconcile	no secrets/capabilities in response	async exec	Stage9Integration/ChangeRequest	P1-F Gateway (Wave 5)	CURRENT_PARTIAL
F11	Connector import→staging→validation→activation	tenant→service-account	BusinessSystemConnector(read)	SyncCommand	tenant+connection(server), DRAFT+READ_ONLY default	integrationcontrol	inventory/catalog	import_job→staging→validation→activation	activation tx atomic	tenant+connectionId+sync run	serialized per connection	CONNECTOR_SYNC/IMPORT_ACTIVATED	(none external)	fetch+stage+validate (jobs)	read-only (recordsWritten=0)	validation-fail→no activation	staging vs mirror	sync metadata only	async sync	IntegrationConnection/Stage9	keep; typed connector category	CURRENT_PARTIAL
F12	Payment event→matching→atomic allocation→reconciliation	service-account	PaymentProviderAdapter	PaymentEvent	tenant from provider(server)	paymentreconciliation	paymentreconciliation	Event→Matched→Allocated	1 tx: allocation+obligation+audit	tenant+paymentObligationId+ext_payment_id	conditional update + version	PAYMENT_ALLOCATED	PaymentAllocated(outbox)	matching (job)	none (ingest only today)	partial/over-allocation→reconciliation case	reconciliation	allocation summary	indexed obligation query	Reconciliation/PaymentObligation	keep; add matching engine	CURRENT_PARTIAL
F13	MFA/security challenge→Security Delivery	any plane (auth)	SecurityDeliveryAdapter	IssueChallengeCommand	principal(server)	securitydelivery	securitydelivery	Issued→Delivered→Verified	challenge in-tx; deliver separate	principal+challengeId	single active challenge	SECURITY_CHALLENGE_ISSUED	SecurityDelivered(separate pool)	provider send	MFA email/SMS (target)	send-fail→retry; deny-closed	n/a	no code/secret in response	fast issue	(OIDC session only, P1-C)	build securitydelivery (Wave 5)	TARGET_STATE_2
