owner_module	authoritative_tables	legal_writers	legal_readers	migration_owner	tenant_model	backup_restore_boundary	extraction_trigger	consistency_lost_after_extraction
auditoutbox	audit_event, outbox_event, idempotency_record	auditoutbox (in caller tx)	all modules (read), observability	auditoutbox	tenant_id on every row	whole-DB (atomic with business)	never (cross-cutting invariant)	atomic audit+business commit would be lost — do NOT extract
identityaccess	principal, gateway_key(ref), oidc_session(ephemeral)	identityaccess	all modules (resolve)	identityaccess	tenant_id / global staff	session in Redis; keys in vault	staff IdP scale	actor resolution latency; acceptable via cache
tenantorganization	tenant, tenant_membership, role	tenantorganization	all modules	tenantorganization	tenant root	whole-DB	never	tenant scope resolution — keep in core
tenantconfiguration	channel_connection(config), integration_connection(config), secret_ref	tenantconfiguration	channelintake, integrationcontrol	tenantconfiguration	tenant_id	whole-DB + vault	rarely	config→runtime coupling
runtimecontrol	tenant_runtime_plan, entitlement	runtimecontrol	all (admission)	runtimecontrol	tenant_id	whole-DB	never	admission decisions
supportcontrol	incident_record, break_glass_access_request, support_access_grant, maintenance_record, data_repair_request, lifecycle_operation, backup_artifact	supportcontrol	observability, developerplatform	supportcontrol	tenant_id (+ staff plane)	whole-DB	staff ops scale	JIT grant↔audit atomicity
channelintake	channel_message, inbound_event_ledger, webhook_event	channelintake	inquiry, documentevidence	channelintake	tenant_id	whole-DB (raw payload key → object storage)	inbound volume per provider	dedup/idempotency window
documentevidence	inbound_document, inbound_attachment, object_storage_record, processing_job	documentevidence	aiadvisory, workmanagement	documentevidence	tenant_id	object storage + DB metadata	OCR/parse scale (already worker)	evidence↔job linkage
inquiry	inquiry, channel_rfq_handoff	inquiry	workmanagement, quote	inquiry	tenant_id	whole-DB	inbound scale	inquiry→workcase routing
aiadvisory	ai_work, extraction_result, ai_advisory_memory	aiadvisory	decisiontrace	aiadvisory	tenant_id	whole-DB	model runtime scale (already worker)	advisory↔evidence linkage (rebuildable)
decisiontrace	validation_case, validation_report, ai_validation_handoff, trust_ai_projection	decisiontrace	workmanagement, quote	decisiontrace	tenant_id	whole-DB	validation volume	trace replay (rebuildable)
workmanagement	work_case/exception_case, draft_review_state	workmanagement	commerceintelligence	workmanagement	tenant_id	whole-DB	operator concurrency	review↔quote command binding
customerparty	customer, customer_contact, customer_preference, channel_identity	customerparty	quote, ordermanagement, inquiry	customerparty	tenant_id	whole-DB	rarely	identity resolution
catalog	product, product_alias, vehicle, compatibility, substitution	catalog (via validated import/activation)	quote, commercialpolicy, inventory	catalog	tenant_id	whole-DB	catalog size	SKU/alias lookup (hot path)
inventory	inventory_snapshot, import_job, import_staging_row, import_validation_issue	inventory (activation only)	quote, commercialpolicy	inventory	tenant_id	whole-DB	import volume	staging→activation invariant
commercialpolicy	pricing_rule, discount, margin, risk_policy	commercialpolicy	quote	commercialpolicy	tenant_id	whole-DB	rarely	price/margin evaluation (hot path)
quote	quote, quote_line, quote_version, quote_approval_request, quote_artifact	quote	workmanagement, ordermanagement, commerceintelligence	quote	tenant_id	whole-DB	rarely	quote+approval+audit+outbox atomicity — keep in core
ordermanagement	order, order_line, quote_order_conversion	ordermanagement	fulfillment, commerceintelligence, integrationcontrol	ordermanagement	tenant_id	whole-DB	rarely	quote→order conversion invariant
fulfillment	order_journey, milestone, fulfillment_signal, tracking_link	fulfillment	customerprojection, commerceintelligence	fulfillment	tenant_id	whole-DB	signal volume	milestone ordering (per journey)
paymentreconciliation	payment_event, payment_obligation, payment_allocation, reconciliation_case	paymentreconciliation	commerceintelligence, ordermanagement	paymentreconciliation	tenant_id	whole-DB	payment volume	allocation atomicity + reconciliation
integrationcontrol	integration_connection(runtime), change_request, compensation_plan	integrationcontrol	connectorexecution	integrationcontrol	tenant_id	whole-DB + vault	connector volume	changeRequest→outbox atomicity
connectorexecution	connector_run, connector_command_execution, connector_sandbox_execution	connectorexecution	integrationcontrol, observability	connectorexecution	tenant_id	whole-DB + vault	external throughput/isolation (P1-F gateway already fronts)	execution↔changeRequest link (idempotent — extractable)
communicationdelivery	delivery_attempt(business), bot_response_draft	communicationdelivery	commerceintelligence	communicationdelivery	tenant_id	whole-DB	delivery throughput	delivery↔outbox link (idempotent — extractable)
securitydelivery	security_delivery_attempt (target)	securitydelivery	identityaccess	securitydelivery	tenant_id/global	separate	security messaging isolation	challenge↔session link
customerprojection	public_tracking_read_model	fulfillment (projection)	external customer plane	customerprojection	token-scoped	rebuildable	read scale	none (rebuildable)
commerceintelligence	analytics_read_model, roi_assumptions, reconciliation_read_model	commerceintelligence (projection)	tenant user plane	commerceintelligence	tenant_id	rebuildable	read scale	none (rebuildable)
tenantimplementation	pilot_shadow_metric, tenant_demo_data	tenantimplementation	tenantorganization	tenantimplementation	tenant_id	whole-DB	rarely	onboarding gate
