aggregate	owner_module	states	terminal_states	actor_plane	lock_strategy	idempotency	audit_on_transition	outbox_on_transition	forbidden_transitions	status	evidence
Inquiry	inquiry	OPEN, RESOLVED, AMBIGUOUS, ROUTED, CLOSED	CLOSED	tenant/service-account	optimistic	tenant+inquiryId	yes	InquiryOpened/RfqHandedOff	OPEN→CLOSED without route/resolve	CURRENT_PARTIAL	channel_rfq_handoff; ChannelRfqHandoffStatus
Document	documentevidence	RECEIVED, QUEUED, DUPLICATE, PROCESSING, PROCESSED, FAILED	PROCESSED, DUPLICATE, FAILED	tenant/service-account	tenant-scoped dedup	tenant+sha256	yes	(none)	RECEIVED→PROCESSED skipping scan/parse	CURRENT_PARTIAL	ProcessingStatus; intake-architecture.md status model
Import	inventory	DRAFT, STAGED, VALIDATED, ACTIVATED, REJECTED	ACTIVATED, REJECTED	tenant	serialized per connection	tenant+importJobId	yes	IMPORT_ACTIVATED	STAGED→ACTIVATED skipping VALIDATED	CURRENT_PARTIAL	data-authority-model.md Stage2; V2/V22
WorkCase	workmanagement	OPEN, NEEDS_REVIEW, IN_PROGRESS, READY, ESCALATED, RESOLVED	RESOLVED	tenant	pessimistic lock	tenant+workCaseId	yes	WorkCaseCorrected/MarkedReady	READY without passing validation	CURRENT_PROVEN	DraftReviewService; ExceptionCase; ValidationCaseStatus
Quote	quote	DRAFT, DRAFT_ASSEMBLED, PENDING_APPROVAL, WAITING_APPROVAL, APPROVED, APPROVED_INTERNAL, REJECTED, CANCELLED, EXPIRED	APPROVED, REJECTED, CANCELLED, EXPIRED	tenant	optimistic + state guard	tenant+quoteId+Idempotency-Key	yes	QuoteApproved/Issued/Expired	non-APPROVED→convert; terminal→correct	CURRENT_PARTIAL (string status, no DB CHECK)	QuoteApprovalStateMachineService; draft_quote.status VARCHAR(40)
QuoteArtifact	quote	CREATED (immutable), SUPERSEDED	SUPERSEDED	tenant	create-once	tenant+quoteId+version	yes	QuoteArtifactCreated	mutate CREATED artifact	CURRENT_PARTIAL	QuoteArtifact (OP-CAP-36/37 references)
Order	ordermanagement	DRAFT_ORDER, CREATED, CONFIRMED, CANCELLED	CONFIRMED, CANCELLED	tenant	guard requires APPROVED quote	tenant+quoteId	yes	OrderCreated/Confirmed	create from non-APPROVED quote	CURRENT_PARTIAL	convertApprovedQuoteToInternalDraftOrder; V30/V32
Fulfillment	fulfillment	CREATED, IN_PROGRESS, MILESTONE_REACHED, RETURN_REQUESTED, COMPLETED	COMPLETED	tenant/external-customer(read)	per-journey ordering	tenant+journeyId+signal	yes	MilestoneReached	milestone out of sequence	CURRENT_PARTIAL	MilestoneState; JourneyProjectionEventStatus; V53/V54/V59
Invoice/AR mirror	billingar	(target) MIRRORED, RECONCILED, DISPUTED	RECONCILED	tenant	optimistic	tenant+invoiceRef	yes	InvoiceMirrored	be authoritative without ERP reconcile	NEEDS_OWNER_DECISION	no aggregate today
PaymentEvent	paymentreconciliation	RECEIVED, MATCHED, UNMATCHED, IGNORED	MATCHED, IGNORED	service-account	conditional update	tenant+ext_payment_id	yes	(none)	MATCHED without obligation	CURRENT_PARTIAL	domain/payment; V46/V8
PaymentObligation	paymentreconciliation	OPEN, PARTIALLY_ALLOCATED, SETTLED, WRITTEN_OFF	SETTLED, WRITTEN_OFF	tenant/service-account	version + conditional	tenant+obligationId	yes	PaymentAllocated	over-allocate beyond obligation	CURRENT_PARTIAL	PaymentObligationStatus; V46/V50
PaymentAllocation	paymentreconciliation	PENDING, ALLOCATED, REVERSED	ALLOCATED, REVERSED	service-account	atomic conditional	tenant+obligationId+ext_payment_id	yes	PAYMENT_ALLOCATED	allocate without idempotency	CURRENT_PARTIAL	PaymentAllocationStatus
ChangeRequest	integrationcontrol	PENDING_APPROVAL, APPROVED, REJECTED, CANCELLED, EXECUTION_DISABLED, EXECUTED, FAILED	REJECTED, CANCELLED, EXECUTED	tenant (CREATE/APPROVE/EXECUTE distinct perms)	state guard; approver != creator	tenant+changeRequestId	yes	ExternalSyncIntended	execute without APPROVED; self-approve	CURRENT_PROVEN	ChangeRequestService; changeRequestDecision (policy:401-412); V10/V28/V29
ConnectorExecution	connectorexecution	QUEUED, RUNNING, SUCCEEDED, FAILED, COMPENSATING, COMPENSATED	SUCCEEDED, COMPENSATED	service-account(executor)	lease + fencing; idempotent effect	tenant+changeRequestId+connector idem key	yes	ConnectorExecuted/Failed	execute without approved change request	CURRENT_PARTIAL	ConnectorRunStatus, ConnectorCommandExecutionState, CompensationPlanStatus; V12/V13/V14
DeliveryAttempt	communicationdelivery	PENDING, SENT, DELIVERED, FAILED, DEAD_LETTER	DELIVERED, DEAD_LETTER	service-account	per-recipient dedup	tenant+messageId+channel	yes	MessageDelivered/Failed	deliver security messages on business pool	CURRENT_PARTIAL	bot response drafts; V24/V25/V33/V34/V35
SupportAccessGrant	supportcontrol	REQUESTED, APPROVED, REJECTED, REVOKED, EXPIRED	REJECTED, REVOKED, EXPIRED	operant-staff (approver != requester)	separation of duties; TTL	tenant+grantId	yes	(none)	self-approve; use after expiry	CURRENT_PROVEN	support access grant; supportDecision (policy:266-281); V62/V63
BreakGlassGrant	supportcontrol	REQUESTED, APPROVED, REJECTED, REVOKED, EXPIRED	REJECTED, REVOKED, EXPIRED	operant-staff (approver != requester)	separation of duties; bounded TTL	tenant+requestId	yes	BreakGlassExpired(alert)	self-approve; grant mutates business row	CURRENT_PROVEN	BreakGlassStatus; IncidentResponseService; V64
