module	band	status	owns	public_api	publishes	depends_on	must_never	current_code_evidence
identityaccess	A-platform/control	CURRENT_PARTIAL	principals, sessions(ephemeral), gateway HMAC keys, actor/role resolution, permission model	resolveActor, resolveRole, requiredPermissionFor, verifySignature	ActorVerified, SessionRevoked	auditoutbox	own tenant business state; trust client-sent actor/tenant	security/* (RequestActorResolver, GatewayHeaderSignatureVerifier, ApiRouteSecurityPolicy, ApiPermission, policy/*); OIDC P1-C
tenantorganization	A-platform/control	CURRENT_PARTIAL	Tenant, membership, roles	getTenant, listMembers, resolveTenantScope	TenantCreated, MembershipChanged	identityaccess, auditoutbox	store quote/order/payment; let Redis be membership truth	domain/tenant/*, ApiRolePermissionMatrix
tenantconfiguration	A-platform/control	CURRENT_PARTIAL	ChannelConnection config, IntegrationConnection config, secret vault refs	getConnectionConfig, upsertConfig	ConnectionConfigured	tenantorganization, auditoutbox	store live secrets in DB; execute external calls	domain/channel/ChannelConnection, domain/integration connection config; V20/V21
runtimecontrol	A-platform/control	CURRENT_PARTIAL	TenantRuntimePlan, entitlements, runtime admission	getEntitlements, admit, planStatus	EntitlementChanged, RuntimeAdmissionDenied	tenantorganization, auditoutbox	be sole truth via Redis; own business aggregates	domain/usage/*, TenantRuntimePlanStatus; V41/V42/V43; RedisRateCounter
auditoutbox	A-platform/control	CURRENT_PROVEN	AuditEvent(append-only), OutboxEvent, IdempotencyRecord	append, enqueueOutbox, claimIdempotency	(none external until relay)	(leaf infra)	expose public audit mutation; commit audit independent of business tx	domain/audit/*, domain/integration/OutboxEvent, common/idempotency/*; V10/V55/V66
supportcontrol	A-platform/control	CURRENT_PROVEN	IncidentRecord, BreakGlassAccessRequest, SupportAccessGrant, MaintenanceRecord, DataRepairRequest, LifecycleOperation, BackupArtifact	createIncident, requestBreakGlass, approveGrant, requestDataRepair, requestBackup, leaseOperation	IncidentOpened, BreakGlassApproved, LifecycleOperationRequested	identityaccess, auditoutbox	mutate tenant business rows (except bounded PROCESSING_JOB_STATUS_REPAIR); grant tenant-plane permission	domain/incident/*, domain/support/*, domain/control/*; V62-V68; OP-CAP-51..57
observability	A-platform/control	CURRENT_PARTIAL	OperationalEvent reads, control status/health/readiness/diagnostics	status, health, readiness, diagnostics, operationalEvents	(none)	auditoutbox	perform writes; report false-healthy	ControlPlaneStatusService, OperationalEventAccessAuditor; InternalControlController
developerplatform	A-platform/control	CURRENT_PARTIAL	operantctl client (separate deployable)	version, config validate, credential import, status, diagnose	(none)	observability, supportcontrol (over signed control API)	embed tenant authority; hold business permissions	apps/operantctl/*; P1-E
channelintake	B-intake/evidence	CURRENT_PROVEN	ChannelMessage, ChannelConnection runtime, InboundEventLedger, WebhookEvent, dedup	acceptInbound, normalizeEnvelope, dedupe	InboundMessageAccepted	identityaccess, auditoutbox, documentevidence	create Quote/Order/RFQ/Approval directly; write business tables	domain/channel/*, domain/intake/*; V3/V11/V20/V23; ChannelWebhookController
documentevidence	B-intake/evidence	CURRENT_PARTIAL	InboundDocument, InboundAttachment, ObjectStorageRecord, ProcessingJob	acceptDocument, storeBlob, getEvidence, enqueueProcessing	DocumentQueued, ProcessingJobCreated	channelintake, auditoutbox	mutate commercial tables; store blobs in DB	domain/intake/InboundDocument, ObjectStorageService, ProcessingJob; V3/V4
